fips,name,state,zhvi
51161,Roanoke County,VA,342773
27141,Sherburne County,MN,395563
34009,Cape May County,NJ,807930
13297,Walton County,GA,392009
39055,Geauga County,OH,389874
53021,Franklin County,WA,421428
48021,Bastrop County,TX,359509
41003,Benton County,OR,562302
45057,Lancaster County,SC,386823
40131,Rogers County,OK,285221
37127,Nash County,NC,238493
54011,Cabell County,WV,170231
26055,Grand Traverse County,MI,423242
36101,Steuben County,NY,174606
01077,Lauderdale County,AL,232656
19155,Pottawattamie County,IA,244775
51800,Suffolk City,VA,392055
39157,Tuscarawas County,OH,217962
13247,Rockdale County,GA,304191
48037,Bowie County,TX,195599
21037,Campbell County,KY,298114
55109,Saint Croix County,WI,422253
24009,Calvert County,MD,488965
21151,Madison County,KY,287618
42097,Northumberland County,PA,161381
06045,Mendocino County,CA,492380
36117,Wayne County,NY,256621
48469,Victoria County,TX,220051
33009,Grafton County,NH,436642
55089,Ozaukee County,WI,510601
37157,Rockingham County,NC,202327
01115,Saint Clair County,AL,281844
51069,Frederick County,VA,432111
48291,Liberty County,TX,234145
55027,Dodge County,WI,328212
16083,Twin Falls County,ID,385504
26087,Lapeer County,MI,302461
12089,Nassau County,FL,485655
37023,Burke County,NC,257627
29043,Christian County,MO,320981
41033,Josephine County,OR,394289
01051,Elmore County,AL,275167
01043,Cullman County,AL,257012
13095,Dougherty County,GA,125636
48005,Angelina County,TX,196692
16005,Bannock County,ID,362035
41053,Polk County,OR,484883
39119,Muskingum County,OH,213507
42073,Lawrence County,PA,165251
53029,Island County,WA,645646
37109,Lincoln County,NC,407561
29021,Buchanan County,MO,196794
44005,Newport County,RI,788245
48361,Orange County,TX,189595
45075,Orangeburg County,SC,164481
55055,Jefferson County,WI,372709
54107,Wood County,WV,175227
42039,Crawford County,PA,172456
36015,Chemung County,NY,166792
13127,Glynn County,GA,361440
30013,Cascade County,MT,344153
42063,Indiana County,PA,170631
26111,Midland County,MI,252902
28081,Lee County,MS,213935
18067,Howard County,IN,194967
51165,Rockingham County,VA,364289
22097,Saint Landry Parish,LA,132916
12087,Monroe County,FL,960827
13013,Barrow County,GA,350697
01121,Talladega County,AL,181108
40119,Payne County,OK,245289
48213,Henderson County,TX,270755
18005,Bartholomew County,IN,277100
21029,Bullitt County,KY,298368
48099,Coryell County,TX,227208
20103,Leavenworth County,KS,351999
53041,Lewis County,WA,440705
55071,Manitowoc County,WI,269387
29031,Cape Girardeau County,MO,243390
37027,Caldwell County,NC,238805
42033,Clearfield County,PA,137762
40145,Wagoner County,OK,285973
06115,Yuba County,CA,421931
18085,Kosciusko County,IN,295139
36019,Clinton County,NY,234264
13031,Bulloch County,GA,280951
41059,Umatilla County,OR,316458
56025,Natrona County,WY,315845
18043,Floyd County,IN,289954
51019,Bedford County,VA,355720
47141,Putnam County,TN,317212
26037,Clinton County,MI,320984
51680,Lynchburg City,VA,247599
37195,Wilson County,NC,218178
18059,Hancock County,IN,332576
53007,Chelan County,WA,544367
36105,Sullivan County,NY,325747
45073,Oconee County,SC,293603
51095,James City County,VA,488255
28035,Forrest County,MS,187573
29051,Cole County,MO,288781
36009,Cattaraugus County,NY,168000
39141,Ross County,OH,208904
51015,Augusta County,VA,372170
05145,White County,AR,208020
53009,Clallam County,WA,499135
47001,Anderson County,TN,317764
36011,Cayuga County,NY,238643
48471,Walker County,TX,275836
33005,Cheshire County,NH,396254
35061,Valencia County,NM,319670
39043,Erie County,OH,242265
26159,Van Buren County,MI,280650
39063,Hancock County,OH,243652
37037,Chatham County,NC,565381
17183,Vermilion County,IL,105054
54081,Raleigh County,WV,160333
53027,Grays Harbor County,WA,325970
39145,Scioto County,OH,147954
42111,Somerset County,PA,179615
55141,Wood County,WI,236897
13157,Jackson County,GA,407483
05085,Lonoke County,AR,231414
28075,Lauderdale County,MS,125825
12131,Walton County,FL,659313
15007,Kauai County,HI,1015489
12107,Putnam County,FL,220059
38035,Grand Forks County,ND,298680
35031,McKinley County,NM,220425
35025,Lea County,NM,201785
20161,Riley County,KS,277929
51061,Fauquier County,VA,656541
21047,Christian County,KY,204594
08014,Broomfield County,CO,624180
40125,Pottawatomie County,OK,193752
47147,Robertson County,TN,372943
40037,Creek County,OK,219715
51199,York County,VA,470238
01049,De Kalb County,AL,219724
37171,Surry County,NC,242752
18109,Morgan County,IN,303869
49045,Tooele County,UT,482217
25011,Franklin County,MA,377417
22045,Iberia Parish,LA,145664
55097,Portage County,WI,324458
30049,Lewis and Clark County,MT,472725
47059,Greene County,TN,253591
18011,Boone County,IN,423125
38101,Ward County,ND,284927
13285,Troup County,GA,238187
45047,Greenwood County,SC,178347
12023,Columbia County,FL,271440
41035,Klamath County,OR,312609
24001,Allegany County,MD,159568
48203,Harrison County,TX,212705
27013,Blue Earth County,MN,306726
48409,San Patricio County,TX,209869
36053,Madison County,NY,265879
26155,Shiawassee County,MI,217763
05069,Jefferson County,AR,85670
48497,Wise County,TX,376447
37031,Carteret County,NC,473823
13295,Walker County,GA,245010
06033,Lake County,CA,308951
37069,Franklin County,NC,364221
21185,Oldham County,KY,452819
13047,Catoosa County,GA,298068
20015,Butler County,KS,252951
21145,McCracken County,KY,191342
28067,Jones County,MS,158986
35035,Otero County,NM,231296
23003,Aroostook County,ME,171902
17199,Williamson County,IL,159235
45059,Laurens County,SC,201181
39013,Belmont County,OH,136165
29187,Saint Francois County,MO,194662
40101,Muskogee County,OK,159230
18053,Grant County,IN,155576
27131,Rice County,MN,355943
13255,Spalding County,GA,234394
18177,Wayne County,IN,175707
26067,Ionia County,MI,269153
04001,Apache County,AZ,319265
26117,Montcalm County,MI,243783
26103,Marquette County,MI,264691
37193,Wilkes County,NC,227948
54033,Harrison County,WV,150126
42005,Armstrong County,PA,161746
27035,Crow Wing County,MN,377784
17001,Adams County,IL,189629
55017,Chippewa County,WI,327473
26073,Isabella County,MI,234262
36113,Warren County,NY,385025
48427,Starr County,TX,142437
39101,Marion County,OH,183366
39081,Jefferson County,OH,129147
06103,Tehama County,CA,325205
55111,Sauk County,WI,346129
01127,Walker County,AL,164975
27027,Clay County,MN,306815
35005,Chaves County,NM,173571
42037,Columbia County,PA,247013
45055,Kershaw County,SC,259845
53045,Mason County,WA,458604
48347,Nacogdoches County,TX,224627
42025,Carbon County,PA,270784
34033,Salem County,NJ,301043
21199,Pulaski County,KY,180103
41011,Coos County,OR,353486
37161,Rutherford County,NC,220005
13179,Liberty County,GA,246599
47063,Hamblen County,TN,274494
28073,Lamar County,MS,266598
18173,Warrick County,IN,295221
33001,Belknap County,NH,519281
13103,Effingham County,GA,337775
45031,Darlington County,SC,171127
06069,San Benito County,CA,774114
46083,Lincoln County,SD,386820
05115,Pope County,AR,213899
45043,Georgetown County,SC,388789
39009,Athens County,OH,190481
37105,Lee County,NC,292487
40047,Garfield County,OK,142534
31079,Hall County,NE,260997
39083,Knox County,OH,291788
36051,Livingston County,NY,250099
53071,Walla Walla County,WA,420247
37167,Stanly County,NC,307252
21125,Laurel County,KY,184267
20155,Reno County,KS,158949
26015,Barry County,MI,304222
39159,Union County,OH,413120
37087,Haywood County,NC,345457
36021,Columbia County,NY,488466
36115,Washington County,NY,256918
08045,Garfield County,CO,714234
35015,Eddy County,NM,249097
47167,Tipton County,TN,275472
05033,Crawford County,AR,222088
37077,Granville County,NC,317221
51143,Pittsylvania County,VA,195604
26149,Saint Joseph County,MI,224570
36043,Herkimer County,NY,206905
50021,Rutland County,VT,321850
47035,Cumberland County,TN,311747
48221,Hood County,TX,381946
42015,Bradford County,PA,209389
37141,Pender County,NC,439797
39167,Washington County,OH,189859
54055,Mercer County,WV,147135
27111,Otter Tail County,MN,340757
50023,Washington County,VT,403250
37163,Sampson County,NC,151494
39143,Sandusky County,OH,191081
36077,Otsego County,NY,221447
39087,Lawrence County,OH,149398
21195,Pike County,KY,100440
28087,Lowndes County,MS,191750
01009,Blount County,AL,236382
48467,Van Zandt County,TX,283066
02122,Kenai Peninsula Borough,AK,356795
01113,Russell County,AL,198898
29113,Lincoln County,MO,317731
29145,Newton County,MO,246684
39077,Huron County,OH,199799
39129,Pickaway County,OH,331497
36037,Genesee County,NY,230970
42103,Pike County,PA,305946
01001,Autauga County,AL,266179
55021,Columbia County,WI,362811
22001,Acadia Parish,LA,155604
48001,Anderson County,TX,219538
32019,Lyon County,NV,422131
32510,Carson City,NV,498212
23017,Oxford County,ME,325751
22113,Vermilion Parish,LA,160267
48323,Maverick County,TX,222286
54037,Jefferson County,WV,401792
50027,Windsor County,VT,432807
54079,Putnam County,WV,252964
47031,Coffee County,TN,313451
13129,Gordon County,GA,280102
49003,Box Elder County,UT,450907
