fips,name,income
13241,"Rabun County, Georgia",67493
13243,"Randolph County, Georgia",28380
13245,"Richmond County, Georgia",55637
13247,"Rockdale County, Georgia",77247
13249,"Schley County, Georgia",56875
13251,"Screven County, Georgia",52792
13253,"Seminole County, Georgia",49495
13255,"Spalding County, Georgia",62071
13257,"Stephens County, Georgia",54754
13259,"Stewart County, Georgia",33250
13261,"Sumter County, Georgia",42653
13263,"Talbot County, Georgia",41597
13265,"Taliaferro County, Georgia",52500
13267,"Tattnall County, Georgia",50747
13269,"Taylor County, Georgia",41788
13271,"Telfair County, Georgia",50929
13273,"Terrell County, Georgia",46171
13275,"Thomas County, Georgia",60736
13277,"Tift County, Georgia",53255
13279,"Toombs County, Georgia",52621
13281,"Towns County, Georgia",59135
13283,"Treutlen County, Georgia",55518
13285,"Troup County, Georgia",56776
13287,"Turner County, Georgia",36799
13289,"Twiggs County, Georgia",56324
13291,"Union County, Georgia",66176
13293,"Upson County, Georgia",55429
13295,"Walker County, Georgia",59469
13297,"Walton County, Georgia",84945
13299,"Ware County, Georgia",47448
13301,"Warren County, Georgia",44289
13303,"Washington County, Georgia",46023
13305,"Wayne County, Georgia",53427
13307,"Webster County, Georgia",46792
13309,"Wheeler County, Georgia",40539
13311,"White County, Georgia",70666
13313,"Whitfield County, Georgia",67070
13315,"Wilcox County, Georgia",54138
13317,"Wilkes County, Georgia",52043
13319,"Wilkinson County, Georgia",45465
13321,"Worth County, Georgia",58694
15001,"Hawaii County, Hawaii",78639
15003,"Honolulu County, Hawaii",106195
15005,"Kalawao County, Hawaii",73750
15007,"Kauai County, Hawaii",97668
15009,"Maui County, Hawaii",97161
16001,"Ada County, Idaho",91502
16003,"Adams County, Idaho",61808
16005,"Bannock County, Idaho",66499
16007,"Bear Lake County, Idaho",75260
16009,"Benewah County, Idaho",59794
16011,"Bingham County, Idaho",77878
16013,"Blaine County, Idaho",92566
16015,"Boise County, Idaho",78774
16017,"Bonner County, Idaho",66979
16019,"Bonneville County, Idaho",79068
16021,"Boundary County, Idaho",67237
16023,"Butte County, Idaho",53015
16025,"Camas County, Idaho",57955
16027,"Canyon County, Idaho",76488
16029,"Caribou County, Idaho",68782
16031,"Cassia County, Idaho",70830
16033,"Clark County, Idaho",55208
16035,"Clearwater County, Idaho",60000
16037,"Custer County, Idaho",67574
16039,"Elmore County, Idaho",65359
16041,"Franklin County, Idaho",71950
16043,"Fremont County, Idaho",72683
16045,"Gem County, Idaho",64605
16047,"Gooding County, Idaho",63559
16049,"Idaho County, Idaho",66325
16051,"Jefferson County, Idaho",86679
16053,"Jerome County, Idaho",71724
16055,"Kootenai County, Idaho",81861
16057,"Latah County, Idaho",65424
16059,"Lemhi County, Idaho",53202
16061,"Lewis County, Idaho",51615
16063,"Lincoln County, Idaho",71453
16065,"Madison County, Idaho",60160
16067,"Minidoka County, Idaho",70377
16069,"Nez Perce County, Idaho",72599
16071,"Oneida County, Idaho",74954
16073,"Owyhee County, Idaho",64406
16075,"Payette County, Idaho",67673
16077,"Power County, Idaho",61146
16079,"Shoshone County, Idaho",55527
16081,"Teton County, Idaho",99805
16083,"Twin Falls County, Idaho",67409
16085,"Valley County, Idaho",76078
16087,"Washington County, Idaho",54000
17001,"Adams County, Illinois",66220
17003,"Alexander County, Illinois",47043
17005,"Bond County, Illinois",65959
17007,"Boone County, Illinois",84571
17009,"Brown County, Illinois",67917
17011,"Bureau County, Illinois",69257
17013,"Calhoun County, Illinois",93203
17015,"Carroll County, Illinois",60758
17017,"Cass County, Illinois",68125
17019,"Champaign County, Illinois",63683
17021,"Christian County, Illinois",62611
17023,"Clark County, Illinois",72927
17025,"Clay County, Illinois",60417
17027,"Clinton County, Illinois",86588
17029,"Coles County, Illinois",56478
17031,"Cook County, Illinois",83498
17033,"Crawford County, Illinois",71674
17035,"Cumberland County, Illinois",73327
17037,"DeKalb County, Illinois",70724
17039,"De Witt County, Illinois",71678
17041,"Douglas County, Illinois",77320
17043,"DuPage County, Illinois",112096
17045,"Edgar County, Illinois",59941
17047,"Edwards County, Illinois",60519
17049,"Effingham County, Illinois",80404
17051,"Fayette County, Illinois",60944
17053,"Ford County, Illinois",62439
17055,"Franklin County, Illinois",56740
17057,"Fulton County, Illinois",60599
17059,"Gallatin County, Illinois",59219
17061,"Greene County, Illinois",62192
17063,"Grundy County, Illinois",92235
17065,"Hamilton County, Illinois",65746
17067,"Hancock County, Illinois",65865
17069,"Hardin County, Illinois",54271
17071,"Henderson County, Illinois",62227
17073,"Henry County, Illinois",71911
17075,"Iroquois County, Illinois",66255
17077,"Jackson County, Illinois",48763
17079,"Jasper County, Illinois",74755
17081,"Jefferson County, Illinois",63118
17083,"Jersey County, Illinois",80361
17085,"Jo Daviess County, Illinois",73993
17087,"Johnson County, Illinois",62528
17089,"Kane County, Illinois",103163
17091,"Kankakee County, Illinois",71281
17093,"Kendall County, Illinois",111601
17095,"Knox County, Illinois",57030
17097,"Lake County, Illinois",110416
17099,"LaSalle County, Illinois",73045
17101,"Lawrence County, Illinois",55324
17103,"Lee County, Illinois",70292
17105,"Livingston County, Illinois",73790
17107,"Logan County, Illinois",66358
17109,"McDonough County, Illinois",52795
17111,"McHenry County, Illinois",104802
17113,"McLean County, Illinois",79905
17115,"Macon County, Illinois",62666
17117,"Macoupin County, Illinois",70805
17119,"Madison County, Illinois",75793
17121,"Marion County, Illinois",61240
17123,"Marshall County, Illinois",71585
17125,"Mason County, Illinois",62845
17127,"Massac County, Illinois",65116
17129,"Menard County, Illinois",82176
17131,"Mercer County, Illinois",74182
17133,"Monroe County, Illinois",102880
17135,"Montgomery County, Illinois",63620
17137,"Morgan County, Illinois",66306
17139,"Moultrie County, Illinois",71784
17141,"Ogle County, Illinois",82132
17143,"Peoria County, Illinois",65108
17145,"Perry County, Illinois",62118
17147,"Piatt County, Illinois",94811
17149,"Pike County, Illinois",59777
17151,"Pope County, Illinois",60050
17153,"Pulaski County, Illinois",42463
17155,"Putnam County, Illinois",75590
17157,"Randolph County, Illinois",68131
17159,"Richland County, Illinois",62455
17161,"Rock Island County, Illinois",67159
17163,"St. Clair County, Illinois",73854
17165,"Saline County, Illinois",53117
17167,"Sangamon County, Illinois",75357
17169,"Schuyler County, Illinois",65948
17171,"Scott County, Illinois",66705
17173,"Shelby County, Illinois",72095
17175,"Stark County, Illinois",62878
17177,"Stephenson County, Illinois",64043
17179,"Tazewell County, Illinois",77982
17181,"Union County, Illinois",55728
17183,"Vermilion County, Illinois",56877
17185,"Wabash County, Illinois",57086
17187,"Warren County, Illinois",67385
17189,"Washington County, Illinois",78224
17191,"Wayne County, Illinois",55521
17193,"White County, Illinois",54813
17195,"Whiteside County, Illinois",67500
17197,"Will County, Illinois",109984
17199,"Williamson County, Illinois",65604
17201,"Winnebago County, Illinois",65837
17203,"Woodford County, Illinois",91483
18001,"Adams County, Indiana",65289
18003,"Allen County, Indiana",70737
18005,"Bartholomew County, Indiana",79901
18007,"Benton County, Indiana",65875
18009,"Blackford County, Indiana",51326
18011,"Boone County, Indiana",111250
18013,"Brown County, Indiana",78528
18015,"Carroll County, Indiana",65645
18017,"Cass County, Indiana",56403
18019,"Clark County, Indiana",74214
18021,"Clay County, Indiana",70010
18023,"Clinton County, Indiana",65019
18025,"Crawford County, Indiana",49640
18027,"Daviess County, Indiana",68503
18029,"Dearborn County, Indiana",84735
18031,"Decatur County, Indiana",69783
18033,"DeKalb County, Indiana",74331
18035,"Delaware County, Indiana",58127
18037,"Dubois County, Indiana",75979
18039,"Elkhart County, Indiana",68561
18041,"Fayette County, Indiana",59321
18043,"Floyd County, Indiana",79704
18045,"Fountain County, Indiana",62542
18047,"Franklin County, Indiana",78074
18049,"Fulton County, Indiana",61360
18051,"Gibson County, Indiana",67573
18053,"Grant County, Indiana",53522
18055,"Greene County, Indiana",62094
18057,"Hamilton County, Indiana",121530
18059,"Hancock County, Indiana",93186
18061,"Harrison County, Indiana",74475
18063,"Hendricks County, Indiana",101144
18065,"Henry County, Indiana",63150
18067,"Howard County, Indiana",64027
18069,"Huntington County, Indiana",66301
18071,"Jackson County, Indiana",70262
18073,"Jasper County, Indiana",77314
18075,"Jay County, Indiana",54969
18077,"Jefferson County, Indiana",64577
18079,"Jennings County, Indiana",69322
18081,"Johnson County, Indiana",90454
18083,"Knox County, Indiana",61237
18085,"Kosciusko County, Indiana",75317
18087,"LaGrange County, Indiana",84487
18089,"Lake County, Indiana",71493
18091,"LaPorte County, Indiana",71055
18093,"Lawrence County, Indiana",66468
18095,"Madison County, Indiana",63037
18097,"Marion County, Indiana",66346
18099,"Marshall County, Indiana",71808
18101,"Martin County, Indiana",68594
18103,"Miami County, Indiana",61139
18105,"Monroe County, Indiana",65868
18107,"Montgomery County, Indiana",71479
18109,"Morgan County, Indiana",79429
18111,"Newton County, Indiana",75481
18113,"Noble County, Indiana",71723
18115,"Ohio County, Indiana",70392
18117,"Orange County, Indiana",65873
18119,"Owen County, Indiana",62464
18121,"Parke County, Indiana",68485
18123,"Perry County, Indiana",61151
18125,"Pike County, Indiana",71334
18127,"Porter County, Indiana",87972
18129,"Posey County, Indiana",78129
18131,"Pulaski County, Indiana",62792
18133,"Putnam County, Indiana",78378
18135,"Randolph County, Indiana",60791
18137,"Ripley County, Indiana",70573
18139,"Rush County, Indiana",66473
18141,"St. Joseph County, Indiana",66868
